ids,aq,eq,sq,faceAmplitudeRight,baselineAmplitudeRight,faceAmplitudeLeft,baselineAmplitudeLeft,faceSNRRight,baselineSNRRight,faceSNRLeft,baselineSNRLeft
subject  1,32,32,60,NaN,NaN,NaN,NaN,0,0,0,0
subject  2,23,30,87,1.57808798043466,3.08093050417063,0.742007896230723,1.56734930428256,2.4174133283148,27.6928907418367,1.36663091606062,17.0676407271498
subject  3,23,34,61,1.18402426863188,0.252550243233283,0.824533484098395,0.214232968505034,1.28035359603729,2.40098224664016,1.70725376405127,4.13077444895022
subject  4,28,18,104,NaN,NaN,NaN,NaN,0,0,0,0
subject  5,23,35,128,0.619833303922846,0.979390423754599,0.937512114521756,0.29964091682538,1.56629091719471,7.52709743305773,1.21307840131536,1.46070164394524
subject  6,13,60,43,NaN,NaN,NaN,NaN,0,0,0,0
subject  7,14,32,55,1.27339022698835,2.60710539494452,0.777333921663941,0.730820523079662,1.58958618116055,23.2315326005273,1.19768204612996,7.03994116213933
subject  8,14,41,61,0.432761905961076,0.40452582535926,0.353519209813366,0.403702522790797,1.47768928960715,6.10317224909195,1.12144895291065,3.42191424962959
subject  9,8,55,49,0.817353073717792,0.224226870869945,0.969204685428209,0.758974764195477,2.71681746542424,3.85737565617472,2.90856489186139,11.4161080055511
subject 10,30,47,57,1.4381902729625,3.74789133967722,0.81537868174937,0.308983355399819,1.41140179731773,14.2967929081103,1.12574820639925,1.75736507250084
subject 11,17,33,50,0.953795196730908,0.360970024332042,0.421088521514259,0.477672605133557,2.45858013329532,5.37020196306867,1.11365585337056,7.15491623748216
subject 12,14,48,34,NaN,NaN,NaN,NaN,0,0,0,0
subject 13,16,30,65,NaN,NaN,NaN,NaN,0,0,0,0
subject 14,19,46,68,0.474684583123209,0.877785708453144,0.344926448475087,0.772812394796232,1.41976995838197,8.95291039444074,1.2309623848791,8.57364979015243
subject 15,17,44,73,1.05657961638178,1.46041244947866,1.11974835586623,0.214145429199047,1.10170684951666,8.59313800902305,1.55148420609387,1.8539866536097
subject 16,16,35,97,1.10810141796092,0.838701285040072,0.55414629919432,1.13892600250986,3.04983659417335,3.8183491459508,0.933982160398716,6.305674896177
subject 17,16,47,96,1.27359836460569,4.78915826496334,0.847088591327509,2.36768978357727,1.76224507882214,40.0486660623318,1.66236226890522,26.3049647020853
subject 18,6,56,56,1.23407050104194,0.769897693320562,0.643334513556177,2.24072900383515,1.40407051446421,2.69949807815161,1.01109376800353,8.73711192741522
subject 19,37,9,44,0.736007649762399,0.607114032224268,1.1543907853448,0.932895763994892,1.76343650312643,6.0888374793709,1.24949631078638,5.91128101201401
subject 20,13,36,53,0.899209045616451,0.411367950323897,0.739919835274038,0.20021670267538,1.1385198959113,3.20906234956196,1.11543307493987,2.83173606958683
subject 21,19,52,65,0.446945140617189,1.40413723140578,0.494405754681381,0.530822831596686,1.85397163067041,14.3706309981004,2.18182903772578,5.92784102259897
subject 22,10,44,45,0.840394111441371,0.402471520515184,0.592450041960286,0.174146742322122,0.789844316121917,2.37598398656297,1.07274575054247,1.41411875605151
subject 23,20,26,36,1.21677654148518,0.695559048744225,0.598736166622132,0.39253040033565,2.44067371484818,7.61202967784347,1.35802786767893,5.78735045935768
subject 24,16,41,51,3.22579470969908,12.1480708412727,1.57779631931541,2.42459193224836,1.51422265001587,28.5834694738989,2.19257864702007,7.45581722736528
subject 25,9,34,29,0.288423473697959,0.277424957550899,0.422525444187549,2.24301544144536,1.32870068550768,3.77824948201013,1.4078037971373,30.178226579149
subject 26,8,57,20,0.50789904727707,1.39471518919943,0.537598265399386,0.653986652111883,1.10038655511967,13.2578133873306,1.52253788605263,7.51880423376578
subject 27,15,57,53,0.891621482112534,0.666638986122856,1.27457375540465,0.167113510722598,0.962192368115881,5.82528657785821,0.873113261066746,1.07256488904186
subject 28,14,31,57,NaN,NaN,NaN,NaN,0,0,0,0
subject 29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
subject 30,11,51,66,0.513160101791141,0.498643347243646,0.539440516621193,1.37380082987344,1.7300683208125,6.81821121112848,1.36014685079236,12.2791267819746
subject 31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
subject 32,19,28,45,0.520358762744188,1.99386083034878,0.695650207475408,2.11692930667131,1.39732453189166,14.5661791967738,1.47161142837568,14.2281419926568
subject 33,12,54,26,1.32650224507111,3.43004635630594,1.12600838855701,0.239265857252365,1.66256929376089,22.9429547388144,1.63093412519081,2.86584424683564
subject 34,27,28,68,NaN,NaN,NaN,NaN,0,0,0,0
subject 35,13,19,35,0.406395580596655,1.1469214893117,1.15354388032449,0.330292284559085,1.50559242001322,13.5595592299665,1.17200524515322,4.16629611764315
subject 36,18,38,52,0.324550972577261,1.54195249918943,0.77389897895854,1.76583762974303,1.51870675916472,19.7758721125226,1.0052427211092,15.8563708877653
