ids,aq,eq,sq,RMET,faceAmplitudeRight,baselineAmplitudeRight,faceAmplitudeLeft,baselineAmplitudeLeft,faceSNRRight,baselineSNRRight,faceSNRLeft,baselineSNRLeft,RatioRight,RatioLeft,FaceLateral,BaseLineLateral,nodeStrengthLeft,nodeStrengthRight,weightedClusterLeft,weightedClusterRight,binaryClusterLeft,binaryClusterRight,degreesLeft,degreesRight,hemisphereCoherence
subject 2,23,30,87,23,1.347492577,1.844568201,0.781522373,0.895538039,2.418571599,14.93762334,1.33544527,8.94177213,-0.721301632,-0.740115399,0.28852463,0.251088903,39.25140955,41.20655927,0.595186179,0.614672417,0.398529412,0.769883041,8.333333333,13.33333333,0.803046844
subject 3,23,34,61,33,1.157832843,0.196707765,0.608931208,0.154236667,1.323052104,1.679674768,1.449312398,2.595988418,-0.118766268,-0.283458777,-0.045542458,-0.214309128,30.76767379,30.03407994,0.455260119,0.449794134,0.49754902,0.679431107,18.33333333,16.66666667,0.562180431
subject 5,23,35,128,33,0.75644996,0.620102189,1.359554056,0.281286876,1.811108715,3.421398308,1.438030927,0.828708905,-0.30774724,0.268809862,0.114823562,0.610029177,,,,,,,,,
subject 7,14,32,55,24,1.054320775,1.479321021,0.737801266,0.484125459,1.556932724,11.74621028,1.239421136,4.047100309,-0.765930093,-0.531101444,0.113544853,0.487491836,,,,,,,,,
subject 9,8,55,49,30,0.858754939,0.174747412,0.786916282,0.497873533,2.907621501,2.778162271,2.691034185,6.547518582,0.022768933,-0.417433823,0.038685593,-0.404191004,30.79582173,31.63412518,0.475965491,0.486995839,0.621832359,0.448412698,11,6.666666667,0.495028105
subject 10,30,47,57,30,1.542840674,2.240485073,0.787271899,0.284404022,1.462126819,7.155348786,1.139028152,1.405367899,-0.660660062,-0.104677,0.12421354,0.671670504,34.20013722,36.64772186,0.502731275,0.526750714,0.566484723,0.560946879,17.66666667,23.66666667,0.723567499
subject 11,17,33,50,21,0.772053119,0.268648911,0.527551606,0.305684859,2.352433535,3.503651466,1.218058345,3.951471435,-0.196584908,-0.528754685,0.31770838,-0.060068757,30.86172283,31.92442757,0.476525234,0.491051883,0.486291486,0.474053724,11.66666667,8,0.570733043
subject 14,19,46,68,23,0.549324104,0.556350017,0.36047004,0.515419154,1.383635583,4.916585384,1.117161309,4.899180078,-0.560766014,-0.628624363,0.106555744,0.001773199,,,,,,,,,
subject 16,16,35,97,29,1.300520751,0.577175616,0.514957235,0.702948412,3.343751761,2.396977703,0.857577483,3.696205941,0.164922257,-0.623356052,0.591758973,-0.213226502,36.48468812,33.82739464,0.551375573,0.522141838,0.52470064,0.575757576,13.33333333,6.333333333,0.621792875
subject 17,16,47,96,20,1.191304068,2.771638334,0.753804784,1.403556102,1.839156588,20.92893723,1.546269597,14.1240189,-0.838444395,-0.802649505,0.086514068,0.194132509,33.57939142,35.81638233,0.518741702,0.542326069,0.451198257,0.714285714,7.666666667,10.33333333,0.595630716
subject 18,6,56,56,24,1.554503353,0.651726839,0.912465675,1.488684419,1.401831263,1.880762688,1.097548713,4.940177219,-0.145900295,-0.636436392,0.121743214,-0.448532691,33.56675708,37.35405109,0.515117225,0.551936019,0.665678766,0.645433455,10.33333333,21.66666667,0.649431286
subject 21,19,52,65,29,0.460442233,0.851900826,0.54958806,0.359208428,1.702422453,8.440866689,2.302846023,3.529129541,-0.664325362,-0.210268974,-0.149908445,0.410337401,,,,,,,,,
subject 23,20,26,36,28,0.85819742,0.419903201,0.545682421,0.275435568,2.219495747,3.928385026,1.421812793,3.568476051,-0.277963959,-0.430168138,0.219064917,0.048007956,29.31967733,26.07370194,0.448352174,0.414724662,0.774967679,0.239316239,12.33333333,4.666666667,0.375399484
subject 24,16,41,51,32,2.655158473,6.863875398,1.4602573,1.619065309,1.482823125,14.4288933,2.209646489,4.442750009,-0.813618709,-0.335684068,-0.196839362,0.529161299,33.68549163,30.82805293,0.502337912,0.473059233,0.720333773,0.430850631,14.66666667,8,0.548087929
subject 26,8,57,20,31,0.535733626,0.86362124,0.602599127,0.47891043,1.156030902,6.883271071,1.581223538,4.872073684,-0.712405155,-0.509948641,-0.155335445,0.171087912,32.35948083,35.02262839,0.480344644,0.508003049,0.741047062,0.612211726,16.66666667,23.33333333,0.706292101
subject 30,11,51,66,,0.602805203,0.301104151,0.640473757,0.845692194,1.924316998,3.676910287,1.498774087,6.187071946,-0.312894514,-0.609991124,0.124315392,-0.254477512,33.34876508,30.92014569,0.50633539,0.480039001,0.62029822,0.371428571,13.33333333,8.666666667,0.61742766
subject 32,19,28,45,,0.5113835,1.182067436,0.790653382,1.241111028,1.242060233,7.751936377,1.448095736,7.682871721,-0.723802379,-0.682816581,-0.076588683,0.004474604,31.82597681,32.28041356,0.476689722,0.481677459,0.551175845,0.682440653,15.66666667,14.66666667,0.621112347
subject 33,12,54,26,29,1.297532839,1.984149089,1.032983331,0.182277431,1.53763121,12.0338101,1.57802907,1.752910539,-0.773401929,-0.052502143,-0.012966067,0.745710298,35.77154588,35.40899463,0.545711526,0.541152586,0.651424501,0.676527177,9.333333333,9.333333333,0.661159568
subject 35,13,19,35,26,0.483535157,0.678778394,0.992857709,0.207911995,1.727246417,7.011657051,1.192787664,2.149772523,-0.604699509,-0.286302955,0.183031683,0.530690597,33.50770179,36.64702238,0.51352087,0.543156949,0.443664717,0.550017637,10.33333333,22.66666667,0.666729443
